Order Date,Product,Category,Region,Customer Type,Quantity,Unit Price,Discount,Revenue,Profit
2024-02-01,Chair,Furniture,South,Retail,7,4500,0,31500.0,8303.38
2025-04-29,Mouse,Electronics,East,Wholesale,19,800,5,14440.0,3959.45
2024-06-20,Bag,Accessories,South,Wholesale,20,1800,0,36000.0,7799.85
2024-04-20,Bag,Accessories,West,Wholesale,1,1800,10,1620.0,319.07
2024-07-22,Mouse,Electronics,East,Retail,19,800,5,14440.0,5615.33
2025-08-02,Laptop,Electronics,East,Retail,12,55000,20,528000.0,80181.15
2025-06-02,Notebook,Stationery,North,Wholesale,1,120,15,102.0,6.4
2025-01-05,Monitor,Electronics,East,Wholesale,5,15000,15,63750.0,18536.92
2025-04-21,Printer,Electronics,South,Retail,19,12000,10,205200.0,57754.37
2024-10-12,Monitor,Electronics,West,Wholesale,8,15000,15,102000.0,15485.41
2024-01-30,Monitor,Electronics,East,Wholesale,11,15000,5,156750.0,41866.28
2024-12-14,Table,Furniture,South,Retail,20,7000,10,126000.0,25656.78
2024-09-04,Printer,Electronics,West,Wholesale,16,12000,20,153600.0,4329.72
2025-04-03,Laptop,Electronics,South,Wholesale,3,55000,10,148500.0,46780.98
2025-11-10,Bag,Accessories,East,Wholesale,12,1800,15,18360.0,2893.5
2025-07-17,Notebook,Stationery,East,Retail,12,120,15,1224.0,314.96
2024-05-03,Chair,Furniture,South,Retail,11,4500,0,49500.0,11243.22
2024-08-09,Monitor,Electronics,East,Retail,9,15000,20,108000.0,-5802.58
2024-07-17,Table,Furniture,North,Retail,8,7000,10,50400.0,16585.38
2024-10-07,Laptop,Electronics,South,Wholesale,2,55000,20,88000.0,17859.49
2024-04-15,Laptop,Electronics,West,Wholesale,19,55000,10,940500.0,218594.06
2024-07-07,Laptop,Electronics,North,Wholesale,9,55000,15,420750.0,131558.06
2025-05-18,Mouse,Electronics,East,Retail,19,800,0,15200.0,6148.12
2024-09-11,Mouse,Electronics,South,Wholesale,18,800,15,12240.0,1700.71
2025-04-06,Monitor,Electronics,East,Retail,10,15000,20,120000.0,-7051.41
2025-09-16,Mouse,Electronics,North,Retail,7,800,5,5320.0,1795.39
2024-09-02,Keyboard,Electronics,West,Wholesale,18,1500,0,27000.0,10882.09
2025-12-06,Bag,Accessories,East,Wholesale,16,1800,10,25920.0,9797.99
2025-12-20,Monitor,Electronics,South,Wholesale,3,15000,5,42750.0,5527.2
2024-04-27,Bottle,Accessories,South,Retail,8,350,5,2660.0,356.93
2024-03-02,Keyboard,Electronics,East,Wholesale,10,1500,20,12000.0,379.69
2024-05-07,Monitor,Electronics,West,Wholesale,10,15000,15,127500.0,2579.57
2024-03-23,Bag,Accessories,East,Retail,2,1800,15,3060.0,286.7
2024-04-03,Chair,Furniture,East,Retail,19,4500,20,68400.0,-3012.67
2024-06-28,Monitor,Electronics,South,Wholesale,17,15000,15,216750.0,6420.43
2025-10-12,Monitor,Electronics,East,Wholesale,3,15000,15,38250.0,8802.53
2025-11-17,Mouse,Electronics,West,Wholesale,6,800,10,4320.0,1087.23
2025-11-09,Printer,Electronics,East,Wholesale,18,12000,0,216000.0,67727.28
2024-11-27,Mouse,Electronics,North,Wholesale,13,800,20,8320.0,26.23
2025-02-27,Laptop,Electronics,West,Wholesale,7,55000,20,308000.0,54464.48
2024-02-22,Chair,Furniture,East,Wholesale,9,4500,20,32400.0,8533.19
2025-12-16,Monitor,Electronics,South,Retail,4,15000,0,60000.0,9483.36
2024-11-14,Bottle,Accessories,South,Retail,1,350,20,280.0,44.66
2025-04-17,Mouse,Electronics,East,Wholesale,5,800,15,3400.0,80.82
2025-03-01,Monitor,Electronics,South,Wholesale,16,15000,5,228000.0,63111.37
2024-07-14,Bag,Accessories,East,Wholesale,17,1800,5,29070.0,4308.23
2024-12-14,Bottle,Accessories,East,Wholesale,9,350,0,3150.0,1150.22
2024-06-01,Monitor,Electronics,West,Wholesale,18,15000,15,229500.0,53044.96
2024-11-25,Chair,Furniture,West,Retail,8,4500,20,28800.0,4863.91
2024-11-21,Monitor,Electronics,South,Wholesale,13,15000,15,165750.0,677.78
2024-02-07,Keyboard,Electronics,North,Wholesale,17,1500,20,20400.0,3835.24
2024-04-12,Bottle,Accessories,West,Retail,15,350,0,5250.0,1224.65
2024-03-17,Monitor,Electronics,West,Retail,9,15000,10,121500.0,22007.99
2024-12-02,Bottle,Accessories,West,Retail,13,350,10,4095.0,736.92
2025-09-24,Mouse,Electronics,North,Wholesale,8,800,10,5760.0,324.94
2024-04-10,Mouse,Electronics,North,Retail,15,800,5,11400.0,2301.6
2024-11-28,Laptop,Electronics,South,Retail,10,55000,10,495000.0,130651.22
2025-06-27,Printer,Electronics,North,Wholesale,19,12000,5,216600.0,79573.12
2025-09-26,Chair,Furniture,West,Wholesale,16,4500,20,57600.0,14908.66
2025-04-15,Table,Furniture,South,Retail,1,7000,15,5950.0,207.46
2025-03-28,Notebook,Stationery,West,Wholesale,19,120,10,2052.0,360.97
2025-04-12,Table,Furniture,North,Retail,7,7000,15,41650.0,2155.97
2025-01-25,Bag,Accessories,East,Retail,12,1800,20,17280.0,3482.75
2025-11-05,Printer,Electronics,North,Wholesale,9,12000,0,108000.0,30263.9
2024-10-20,Chair,Furniture,South,Wholesale,20,4500,10,81000.0,25586.88
2025-11-25,Keyboard,Electronics,West,Retail,4,1500,0,6000.0,2143.92
2025-08-16,Notebook,Stationery,East,Wholesale,5,120,0,600.0,106.27
2024-06-28,Chair,Furniture,East,Wholesale,5,4500,20,18000.0,-291.11
2024-06-17,Table,Furniture,East,Retail,16,7000,10,100800.0,14115.61
2025-04-24,Mouse,Electronics,West,Wholesale,5,800,5,3800.0,567.83
2024-04-02,Printer,Electronics,West,Wholesale,1,12000,10,10800.0,2268.34
2025-11-19,Table,Furniture,East,Retail,19,7000,15,113050.0,7085.55
2025-11-22,Chair,Furniture,East,Retail,16,4500,0,72000.0,19017.79
2025-10-25,Mouse,Electronics,North,Retail,15,800,10,10800.0,1862.74
2024-02-16,Laptop,Electronics,South,Retail,10,55000,15,467500.0,145840.12
2025-02-01,Monitor,Electronics,South,Wholesale,12,15000,20,144000.0,22367.16
2025-11-01,Mouse,Electronics,East,Retail,16,800,20,10240.0,1632.83
2025-12-07,Notebook,Stationery,South,Wholesale,7,120,15,714.0,139.94
2024-04-11,Notebook,Stationery,East,Retail,18,120,10,1944.0,716.76
2024-05-05,Monitor,Electronics,North,Retail,3,15000,5,42750.0,9336.99
2024-12-07,Chair,Furniture,South,Retail,5,4500,20,18000.0,4239.86
2024-08-26,Notebook,Stationery,South,Retail,5,120,20,480.0,149.49
2025-07-07,Table,Furniture,North,Retail,6,7000,0,42000.0,10570.67
2024-01-16,Notebook,Stationery,South,Wholesale,8,120,20,768.0,146.75
2024-02-23,Keyboard,Electronics,North,Wholesale,14,1500,20,16800.0,4534.01
2025-04-04,Notebook,Stationery,South,Retail,17,120,20,1632.0,443.26
2025-11-05,Bottle,Accessories,North,Retail,10,350,15,2975.0,374.49
2025-05-05,Printer,Electronics,West,Retail,14,12000,0,168000.0,50890.45
2024-03-23,Notebook,Stationery,East,Wholesale,20,120,5,2280.0,912.71
2025-01-25,Bag,Accessories,West,Retail,17,1800,10,27540.0,6544.89
2025-12-19,Mouse,Electronics,South,Wholesale,18,800,5,13680.0,3902.1
2024-12-13,Monitor,Electronics,East,Wholesale,13,15000,15,165750.0,15817.67
2024-11-16,Table,Furniture,West,Retail,12,7000,5,79800.0,16292.11
2024-04-03,Mouse,Electronics,East,Retail,3,800,15,2040.0,650.47
2025-07-23,Laptop,Electronics,North,Wholesale,19,55000,20,836000.0,85162.26
2024-12-28,Printer,Electronics,East,Retail,2,12000,10,21600.0,4077.05
2025-08-14,Bottle,Accessories,South,Retail,7,350,5,2327.5,497.3
2024-12-24,Bottle,Accessories,South,Wholesale,12,350,0,4200.0,929.12
2025-07-28,Bag,Accessories,East,Retail,20,1800,20,28800.0,8716.46
2024-07-03,Table,Furniture,South,Retail,10,7000,10,63000.0,17128.51
2025-08-02,Printer,Electronics,North,Retail,3,12000,5,34200.0,6397.53
2025-06-27,Chair,Furniture,South,Wholesale,13,4500,15,49725.0,9588.52
2024-11-15,Notebook,Stationery,North,Retail,19,120,20,1824.0,511.89
2024-06-10,Bag,Accessories,West,Wholesale,2,1800,0,3600.0,1326.13
2025-09-13,Monitor,Electronics,North,Wholesale,14,15000,10,189000.0,59919.16
2025-03-16,Mouse,Electronics,East,Retail,10,800,20,6400.0,832.08
2024-08-13,Printer,Electronics,East,Retail,20,12000,0,240000.0,107446.53
2024-05-20,Table,Furniture,West,Wholesale,10,7000,10,63000.0,21980.33
2024-06-28,Keyboard,Electronics,East,Retail,13,1500,20,15600.0,758.52
2025-02-10,Laptop,Electronics,North,Wholesale,14,55000,0,770000.0,240296.77
2025-08-12,Printer,Electronics,West,Wholesale,19,12000,15,193800.0,19870.27
2024-04-27,Printer,Electronics,West,Wholesale,1,12000,10,10800.0,3581.26
2024-03-31,Printer,Electronics,West,Retail,4,12000,5,45600.0,12926.26
2025-02-09,Table,Furniture,South,Retail,11,7000,5,73150.0,23106.11
2025-06-06,Mouse,Electronics,East,Wholesale,17,800,20,10880.0,2608.87
2025-10-22,Keyboard,Electronics,South,Retail,8,1500,0,12000.0,4872.8
2025-09-08,Keyboard,Electronics,West,Wholesale,3,1500,5,4275.0,515.76
2025-07-31,Bag,Accessories,East,Wholesale,15,1800,20,21600.0,1541.77
2024-06-03,Monitor,Electronics,East,Wholesale,3,15000,15,38250.0,7530.19
2025-08-28,Laptop,Electronics,West,Wholesale,12,55000,20,528000.0,150310.25
2024-02-08,Laptop,Electronics,North,Wholesale,12,55000,10,594000.0,215807.26
2025-04-18,Bag,Accessories,South,Wholesale,18,1800,0,32400.0,10208.59
2025-09-11,Monitor,Electronics,West,Retail,17,15000,5,242250.0,28734.24
2024-12-17,Mouse,Electronics,West,Wholesale,17,800,5,12920.0,5280.3
2025-06-20,Bottle,Accessories,East,Wholesale,20,350,5,6650.0,2035.81
2025-02-22,Notebook,Stationery,East,Retail,20,120,0,2400.0,511.76
2024-12-03,Mouse,Electronics,South,Wholesale,18,800,15,12240.0,3092.49
2024-03-24,Bag,Accessories,West,Retail,5,1800,10,8100.0,2312.37
2025-09-01,Mouse,Electronics,East,Retail,10,800,20,6400.0,1095.97
2025-11-17,Bottle,Accessories,North,Wholesale,3,350,15,892.5,154.83
2024-11-12,Keyboard,Electronics,West,Retail,7,1500,10,9450.0,689.84
2024-08-19,Keyboard,Electronics,North,Retail,5,1500,0,7500.0,2709.47
2025-11-08,Notebook,Stationery,South,Retail,20,120,5,2280.0,529.98
2024-07-04,Bag,Accessories,East,Retail,6,1800,15,9180.0,3098.44
2025-03-30,Bag,Accessories,South,Wholesale,10,1800,15,15300.0,4136.38
2025-04-25,Chair,Furniture,West,Wholesale,12,4500,20,43200.0,-2447.92
2025-01-26,Bottle,Accessories,South,Retail,17,350,15,5057.5,60.21
2024-09-13,Laptop,Electronics,North,Retail,16,55000,10,792000.0,161601.24
2024-10-18,Mouse,Electronics,South,Wholesale,6,800,10,4320.0,1032.98
2024-04-03,Chair,Furniture,West,Retail,15,4500,10,60750.0,4782.94
2025-02-09,Bottle,Accessories,North,Wholesale,12,350,5,3990.0,1193.43
2024-08-17,Laptop,Electronics,East,Retail,11,55000,0,605000.0,119939.5
2024-05-20,Laptop,Electronics,South,Wholesale,10,55000,15,467500.0,50148.12
2025-04-04,Bag,Accessories,South,Retail,1,1800,0,1800.0,799.74
2025-07-15,Bag,Accessories,East,Retail,17,1800,15,26010.0,8159.3
2024-11-04,Mouse,Electronics,West,Retail,2,800,5,1520.0,438.48
2024-04-23,Monitor,Electronics,South,Retail,20,15000,20,240000.0,73520.82
2024-10-25,Printer,Electronics,West,Retail,1,12000,20,9600.0,1729.86
2025-11-11,Mouse,Electronics,North,Wholesale,17,800,10,12240.0,4483.87
2025-04-26,Laptop,Electronics,North,Wholesale,13,55000,10,643500.0,195842.02
2024-03-10,Notebook,Stationery,East,Retail,8,120,0,960.0,209.81
2024-02-15,Notebook,Stationery,South,Wholesale,18,120,10,1944.0,228.85
2025-12-13,Monitor,Electronics,West,Retail,6,15000,5,85500.0,34296.29
2024-10-27,Chair,Furniture,East,Wholesale,2,4500,5,8550.0,1208.37
2025-06-11,Printer,Electronics,South,Wholesale,18,12000,15,183600.0,48385.27
2024-12-31,Laptop,Electronics,East,Wholesale,11,55000,10,544500.0,189157.79
2025-02-13,Monitor,Electronics,West,Wholesale,13,15000,10,175500.0,11287.17
2025-01-11,Bottle,Accessories,North,Wholesale,9,350,0,3150.0,730.41
2025-09-08,Keyboard,Electronics,North,Wholesale,18,1500,10,24300.0,6848.19
2025-11-07,Table,Furniture,West,Retail,10,7000,15,59500.0,8344.95
2025-12-07,Monitor,Electronics,East,Wholesale,12,15000,15,153000.0,51712.82
2024-10-08,Laptop,Electronics,South,Retail,3,55000,15,140250.0,31516.1
2024-05-26,Bag,Accessories,South,Wholesale,15,1800,0,27000.0,11127.54
2025-01-05,Printer,Electronics,West,Wholesale,19,12000,0,228000.0,61211.51
2025-01-15,Monitor,Electronics,East,Wholesale,3,15000,20,36000.0,9391.12
2024-11-17,Table,Furniture,South,Wholesale,8,7000,0,56000.0,24764.66
2025-06-14,Printer,Electronics,East,Wholesale,18,12000,0,216000.0,80236.87
2024-08-07,Bag,Accessories,South,Retail,10,1800,15,15300.0,4319.04
2025-04-07,Keyboard,Electronics,East,Wholesale,15,1500,0,22500.0,4654.04
2025-12-27,Mouse,Electronics,East,Retail,18,800,20,11520.0,2345.63
2025-12-29,Keyboard,Electronics,South,Retail,12,1500,20,14400.0,3289.1
2024-08-30,Monitor,Electronics,East,Wholesale,1,15000,10,13500.0,2756.9
2025-07-18,Keyboard,Electronics,West,Wholesale,20,1500,0,30000.0,12908.27
2025-06-22,Printer,Electronics,East,Retail,14,12000,20,134400.0,38282.96
2025-04-05,Monitor,Electronics,South,Retail,17,15000,10,229500.0,79432.4
2025-03-19,Bottle,Accessories,East,Retail,2,350,0,700.0,206.2
2024-06-14,Notebook,Stationery,East,Retail,8,120,10,864.0,63.12
2024-09-13,Chair,Furniture,East,Retail,18,4500,10,72900.0,25308.36
2025-05-29,Keyboard,Electronics,East,Retail,19,1500,20,22800.0,5806.64
2024-01-30,Mouse,Electronics,South,Wholesale,2,800,20,1280.0,272.97
2025-09-24,Laptop,Electronics,East,Wholesale,16,55000,20,704000.0,143526.68
2024-09-07,Printer,Electronics,North,Retail,10,12000,15,102000.0,33372.97
2025-03-26,Printer,Electronics,South,Wholesale,16,12000,15,163200.0,45848.27
2024-11-22,Notebook,Stationery,North,Wholesale,13,120,5,1482.0,268.01
2024-09-04,Monitor,Electronics,South,Retail,4,15000,10,54000.0,12907.27
2024-02-21,Table,Furniture,South,Wholesale,13,7000,20,72800.0,11334.92
2025-08-14,Notebook,Stationery,West,Wholesale,7,120,5,798.0,210.44
2024-11-11,Monitor,Electronics,West,Retail,1,15000,0,15000.0,2496.45
2024-08-08,Bag,Accessories,West,Wholesale,12,1800,0,21600.0,9392.5
2024-10-19,Bottle,Accessories,East,Wholesale,1,350,0,350.0,112.25
2025-02-16,Notebook,Stationery,South,Wholesale,2,120,15,204.0,68.32
2025-07-20,Table,Furniture,East,Retail,3,7000,15,17850.0,3123.19
2024-05-11,Mouse,Electronics,East,Wholesale,13,800,10,9360.0,1159.92
2024-05-27,Chair,Furniture,North,Retail,20,4500,20,72000.0,11662.55
2024-02-09,Keyboard,Electronics,South,Retail,11,1500,15,14025.0,2379.3
2024-12-01,Bag,Accessories,East,Wholesale,11,1800,5,18810.0,5585.85
2025-06-03,Bottle,Accessories,East,Wholesale,18,350,15,5355.0,550.48
2024-01-18,Notebook,Stationery,East,Retail,11,120,0,1320.0,205.96
2025-09-03,Monitor,Electronics,North,Wholesale,9,15000,20,108000.0,10355.81
2024-06-23,Bottle,Accessories,South,Retail,20,350,15,5950.0,1789.67
2025-08-09,Mouse,Electronics,West,Retail,7,800,0,5600.0,1779.06
2025-02-26,Chair,Furniture,West,Retail,14,4500,20,50400.0,1103.02
2025-12-23,Keyboard,Electronics,West,Wholesale,17,1500,5,24225.0,5909.22
2024-11-17,Keyboard,Electronics,East,Wholesale,15,1500,20,18000.0,3314.29
2025-09-16,Monitor,Electronics,East,Retail,7,15000,5,99750.0,33211.3
2024-10-31,Table,Furniture,East,Wholesale,7,7000,15,41650.0,10039.5
2024-10-21,Mouse,Electronics,West,Wholesale,19,800,20,12160.0,2068.59
2024-05-29,Table,Furniture,North,Wholesale,2,7000,10,12600.0,887.68
2025-03-28,Table,Furniture,East,Wholesale,16,7000,5,106400.0,38010.51
2024-05-20,Mouse,Electronics,North,Retail,20,800,20,12800.0,2851.45
2025-10-15,Chair,Furniture,West,Retail,2,4500,0,9000.0,2934.09
2025-11-28,Keyboard,Electronics,South,Wholesale,1,1500,20,1200.0,-65.06
2025-10-30,Monitor,Electronics,East,Wholesale,16,15000,5,228000.0,41574.4
2024-10-19,Laptop,Electronics,North,Retail,3,55000,20,132000.0,29755.1
2025-03-03,Keyboard,Electronics,South,Wholesale,2,1500,15,2550.0,190.84
2024-02-08,Laptop,Electronics,East,Wholesale,10,55000,20,440000.0,38040.81
2025-04-10,Bottle,Accessories,South,Wholesale,17,350,15,5057.5,197.67
2024-10-06,Chair,Furniture,West,Wholesale,4,4500,10,16200.0,5422.53
2024-07-09,Laptop,Electronics,South,Retail,11,55000,10,544500.0,108697.71
2025-09-17,Printer,Electronics,West,Retail,14,12000,20,134400.0,25472.5
2024-07-08,Keyboard,Electronics,North,Wholesale,16,1500,10,21600.0,1662.06
2025-01-27,Chair,Furniture,East,Retail,15,4500,10,60750.0,4305.79
2024-09-24,Notebook,Stationery,West,Wholesale,8,120,0,960.0,239.68
2024-06-12,Printer,Electronics,East,Wholesale,17,12000,10,183600.0,29154.23
2025-09-21,Chair,Furniture,West,Wholesale,8,4500,5,34200.0,9235.64
2025-03-01,Bottle,Accessories,South,Retail,16,350,20,4480.0,52.65
2025-11-27,Bag,Accessories,East,Retail,3,1800,20,4320.0,626.27
2025-07-31,Mouse,Electronics,South,Retail,2,800,20,1280.0,-33.39
2024-06-17,Notebook,Stationery,South,Wholesale,17,120,15,1734.0,540.86
2024-04-03,Bottle,Accessories,West,Wholesale,15,350,0,5250.0,1648.34
2025-07-31,Laptop,Electronics,East,Retail,18,55000,15,841500.0,97187.99
2025-02-09,Table,Furniture,North,Wholesale,1,7000,5,6650.0,1585.55
2024-12-18,Mouse,Electronics,North,Wholesale,18,800,0,14400.0,2442.6
2024-02-02,Table,Furniture,West,Wholesale,14,7000,5,93100.0,16592.22
2025-01-26,Monitor,Electronics,South,Wholesale,13,15000,15,165750.0,53805.38
2024-05-01,Keyboard,Electronics,South,Retail,18,1500,15,22950.0,3816.38
2024-01-24,Table,Furniture,West,Retail,15,7000,20,84000.0,12889.97
2024-09-10,Monitor,Electronics,North,Retail,12,15000,5,171000.0,57114.91
2025-11-07,Printer,Electronics,North,Retail,20,12000,0,240000.0,90672.03
2025-08-31,Laptop,Electronics,North,Retail,15,55000,20,660000.0,39924.15
2024-02-15,Printer,Electronics,North,Retail,15,12000,5,171000.0,42852.97
2025-05-30,Table,Furniture,East,Retail,8,7000,20,44800.0,8642.42
2024-11-05,Keyboard,Electronics,East,Retail,17,1500,5,24225.0,7036.26
2025-07-24,Bag,Accessories,North,Wholesale,6,1800,15,9180.0,1439.04
2025-10-20,Printer,Electronics,West,Retail,17,12000,10,183600.0,28785.93
2024-11-03,Printer,Electronics,South,Wholesale,6,12000,20,57600.0,7771.99
2025-12-25,Keyboard,Electronics,West,Retail,15,1500,0,22500.0,6328.89
2025-02-01,Chair,Furniture,North,Wholesale,9,4500,5,38475.0,12187.3
2025-01-14,Mouse,Electronics,West,Retail,18,800,5,13680.0,5537.36
2024-03-15,Chair,Furniture,South,Wholesale,19,4500,20,68400.0,15808.53
2024-11-06,Laptop,Electronics,North,Wholesale,7,55000,5,365750.0,42880.04
2024-09-05,Bag,Accessories,East,Wholesale,7,1800,15,10710.0,320.82
2025-01-24,Monitor,Electronics,East,Wholesale,18,15000,10,243000.0,69517.79
2025-04-22,Mouse,Electronics,East,Wholesale,16,800,10,11520.0,968.97
2025-02-27,Laptop,Electronics,North,Wholesale,19,55000,5,992750.0,185617.38
2025-07-20,Bag,Accessories,South,Wholesale,19,1800,15,29070.0,7231.33
2024-08-23,Printer,Electronics,East,Wholesale,19,12000,5,216600.0,57047.78
2025-05-15,Monitor,Electronics,East,Retail,15,15000,5,213750.0,40537.87
2024-05-23,Bottle,Accessories,North,Retail,16,350,5,5320.0,699.61
2024-03-17,Laptop,Electronics,South,Retail,1,55000,15,46750.0,14231.39
2025-12-25,Keyboard,Electronics,East,Retail,1,1500,5,1425.0,372.42
2025-09-24,Bag,Accessories,West,Retail,16,1800,15,24480.0,8504.08
